[55.03904484848715, 82.9645120366455]; Зона инженерной ифраструктуры;Существующий;Жилая зона;{81/81};{0/81};6674;6937
[55.03935754294787, 82.97048155660617]; Жилая зона;Существующий;Общественно-деловая зона;{81/81};{0/81};6795;6926
[55.04859281241098, 82.94845073031786]; Производственная зона;Существующий;Зона транспортной инфраструктуры;{48/81};{15/81};6350;6602
[55.0485786344995, 82.94939067484255]; Жилая зона;Проект;Общественно-деловая зона;{65/81};{0/81};6369;6602
[55.04807679510204, 82.94871018392523]; Жилая зона;Проект;Общественно-деловая зона;{58/81};{0/81};6355;6620
[55.048208180882085, 82.94928842429351]; Жилая зона;Проект;Общественно-деловая зона;{34/81};{0/81};6367;6615
[55.04992818286315, 82.94433153079875]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{77/81};{0/81};6266;6555
[55.049614034614265, 82.94442269672794]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{46/81};{17/81};6268;6566
[55.0495865569336, 82.94521148504856]; Жилая зона;Существующий;Зона смешанной и общественно-деловой постройки;{43/81};{5/81};6284;6567
[55.049584625626295, 82.94465819529603]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{42/81};{29/81};6273;6567
[55.049628779661624, 82.94493713141487]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{34/81};{19/81};6279;6565
[55.049969797584275, 82.94486340053777]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{36/81};{0/81};6277;6553
[55.05007115191381, 82.94513091517261]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{42/81};{0/81};6283;6550
[55.04984027608524, 82.94517277987514]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{59/81};{0/81};6283;6558
[55.04995132698539, 82.94466852452568]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{47/81};{0/81};6273;6554
[55.049914679680896, 82.94454137888792]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{53/81};{0/81};6271;6555
[55.07124137280758, 82.924011936747]; Общественно-деловая зона;Существующий;Научно-производственная зона;{60/81};{4/81};5856;5807
[55.07092367216295, 82.92409911071006]; Общественно-деловая зона;Проект;Жилая зона;{81/81};{0/81};5858;5818
[55.07083761404675, 82.9242492099604]; Общественно-деловая зона;Проект;Зона транспортной инфраструктуры подзона улично-дорожной сети;{70/81};{3/81};5861;5821
[55.06063138708341, 82.90913608530374]; Жилая зона;Существующий;Общественно-деловая зона;{81/81};{0/81};5556;6178
[55.00587974612307, 82.96859392415928]; Общественно-деловая зона;Проект;Жилая зона;{66/81};{0/81};6756;8100
[55.09291413103664, 82.95400115605902]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{81/81};{0/81};6462;5048
[55.03143455293282, 82.90067963543923]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{81/81};{0/81};5385;7201
[55.030523930246666, 82.90176182557684]; Зона смешанной и общественно-деловой постройки;Проект;Жилая зона;{81/81};{0/81};5407;7233
[55.03009480304899, 82.90216039635345]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{81/81};{0/81};5415;7248
[55.02986055552865, 82.90171097464433]; Зона смешанной и общественно-деловой постройки;Существующий;Зона транспортной инфраструктуры подзона улично-дорожной сети;{43/81};{8/81};5406;7256
[55.077782883308345, 82.96367059872544]; Жилая зона;Существующий;Общественно-деловая зона;{81/81};{0/81};6657;5579
[55.03648898340722, 82.93434891340976]; Производственная зона;Существующий;Жилая зона;{81/81};{0/81};6065;7025
[55.012495942808314, 82.92878423138797]; Общественно-деловая зона;Проект;Жилая зона;{50/81};{0/81};5952;7866
[55.01060178164925, 82.97153190838085]; Жилая зона;Проект;Зона транспортной инфраструктуры подзона улично-дорожной сети;{74/81};{1/81};6816;7934
[55.03324926161542, 82.97790134940867]; Жилая зона;Существующий;Общественно-деловая зона;{81/81};{0/81};6944;7141
[55.04289247656652, 83.02302803335381]; Зона смешанной и общественно-деловой постройки;Существующий;Жилая зона;{81/81};{0/81};7856;6805
[55.04056872400268, 82.95232271361756]; Зона транспортной инфраструктуры подзона улично-дорожной сети;Существующий;Подзона перспективной  улично-дорожной сети;{12/81};{12/81};6428;6883
[55.04060957787343, 82.95314260994448]; Жилая зона;Существующий;Зона транспортной инфраструктуры подзона улично-дорожной сети;{10/81};{10/81};6444;6882
